rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,e-value-kingdom,e-value-phylum,e-value-class,e-value-order,e-value-family,e-value-genus,per-ident-genus,per-ident-species
genus,Fungi,Basidiomycota,Agaricomycetes,Hysterangiales,Hysterangiaceae,Hysterangium,,,,,,,e-120,,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,,,,,,,e-100,,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,,,,,,,e-180,,
genus,Fungi,Ascomycota,Leotiomycetes,Leotiales,Leotiaceae,Leotia,,,,,,,e-120,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Leucangiaceae,Leucangium,,,,,,,e-120,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Marcelleina,,,,,,,e-115,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,,,,,,,e-115,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Otideaceae,Otidea,,,,,,,e-150,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Pachyphloeus,,,,,,,e-120,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Amylascaceae,Amylascus,,,,,,,e-120,,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Unknown,Paralyophyllum,,,,,,,,0.91,
genus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Paxillus,,,,,,,e-115,,
genus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Bolbitiaceae,Gyrodon,,,,,,,e-115,,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Phaeocollybia,,,,,,,e-110,,
